aX,aY,aZ,gX,gY,gZ
-0.402,-0.895,-0.209,59.875,-20.691,-10.132
-0.404,-0.888,-0.229,57.678,-23.621,-9.949
-0.412,-0.886,-0.251,55.786,-26.123,-9.46
-0.426,-0.889,-0.271,49.927,-27.466,-7.935
-0.427,-0.886,-0.281,47.18,-27.405,-5.493
-0.421,-0.881,-0.285,45.41,-26.428,-2.502
-0.41,-0.887,-0.296,42.236,-25.269,0.122
-0.395,-0.892,-0.3,40.588,-23.193,2.563
-0.381,-0.892,-0.262,39.795,-20.447,3.967
-0.361,-0.912,-0.278,38.208,-17.395,4.395
-0.313,-0.947,-0.271,37.109,-13.428,4.822
-0.392,-0.942,-0.192,36.621,-15.015,2.869
-0.278,-0.886,-0.234,37.598,-11.353,2.93
-0.314,-0.991,-0.313,47.852,-1.282,4.15
-0.307,-0.934,-0.357,44.189,-5.981,-2.075
-0.312,-0.908,-0.328,40.71,-10.437,-7.385
-0.36,-0.872,-0.35,34.241,-19.592,-6.836
-0.368,-0.912,-0.396,29.846,-28.198,-4.089
-0.349,-0.916,-0.404,22.766,-33.63,-2.197
-0.359,-0.89,-0.388,14.954,-34.485,1.282
-0.373,-0.895,-0.391,11.475,-32.227,5.066
-0.368,-0.903,-0.388,12.085,-25.696,6.775
-0.356,-0.904,-0.374,12.695,-17.7,8.179
-0.335,-0.91,-0.358,13.611,-9.399,8.484
-0.321,-0.923,-0.345,17.578,-1.77,7.019
-0.318,-0.924,-0.351,20.203,3.54,5.432
-0.313,-0.93,-0.365,21.545,6.409,3.845
-0.309,-0.928,-0.371,19.47,5.859,3.174
-0.309,-0.923,-0.364,15.93,3.174,2.747
-0.313,-0.922,-0.358,12.329,-0.427,2.869
-0.323,-0.918,-0.352,9.216,-3.113,2.808
-0.342,-0.916,-0.348,7.935,-4.456,2.93
-0.355,-0.916,-0.336,5.737,-4.395,3.845
-0.356,-0.911,-0.323,5.371,-2.808,4.517
-0.353,-0.917,-0.311,5.615,-0.183,5.249
-0.345,-0.932,-0.306,8.85,2.991,4.883
-0.339,-0.933,-0.288,7.812,5.371,4.395
-0.333,-0.938,-0.277,8.789,6.409,3.967
-0.328,-0.949,-0.264,9.705,6.836,3.845
-0.323,-0.949,-0.254,9.583,6.592,3.418
-0.318,-0.938,-0.249,10.925,5.859,2.93
-0.315,-0.943,-0.256,10.681,5.066,3.113
-0.316,-0.957,-0.249,11.414,4.395,3.357
-0.315,-0.957,-0.251,8.362,2.319,3.357
-0.332,-0.947,-0.272,9.155,0,2.686
-0.343,-0.928,-0.284,8.301,-0.366,3.845
-0.34,-0.931,-0.297,10.315,0.732,3.967
-0.336,-0.932,-0.302,8.362,2.319,4.211
-0.336,-0.914,-0.312,8.118,3.845,3.967
-0.037,-0.386,1.418,27.344,13,3.54
-0.014,-0.398,1.512,37.537,5.981,1.282
-0.001,-0.397,1.542,53.65,-3.906,-2.441
-0.011,-0.418,1.501,72.754,-14.099,-7.202
-0.034,-0.451,1.408,88.684,-24.231,-12.39
-0.057,-0.463,1.308,96.313,-33.02,-14.832
-0.083,-0.466,1.228,99.731,-37.109,-15.503
-0.118,-0.47,1.186,98.999,-35.278,-15.259
-0.139,-0.468,1.184,97.839,-26.917,-13.245
-0.146,-0.467,1.192,98.694,-15.625,-10.01
-0.137,-0.474,1.205,101.868,-5.554,-7.141
