aX,aY,aZ,gX,gY,gZ
-0.028,0.578,-0.818,7.812,26.367,12.085
0.029,0.54,-0.816,11.78,30.457,12.878
0.068,0.528,-0.819,11.353,27.1,10.01
0.068,0.529,-0.824,10.071,17.7,3.174
0.031,0.543,-0.819,7.812,7.507,-4.517
-0.041,0.575,-0.809,7.568,-0.427,-10.437
-0.121,0.574,-0.809,7.812,-4.028,-11.597
-0.163,0.573,-0.818,11.23,-2.075,-8.667
-0.162,0.566,-0.828,11.414,5.127,-3.418
-0.133,0.558,-0.825,14.038,14.16,1.77
-0.099,0.554,-0.818,12.878,19.043,6.348
-0.074,0.547,-0.813,12.451,19.165,8.24
-0.065,0.544,-0.815,10.376,16.052,8.118
-0.056,0.542,-0.816,8.24,11.658,7.751
-0.05,0.544,-0.807,6.104,7.69,6.897
-0.047,0.543,-0.799,4.761,5.127,5.432
-0.045,0.544,-0.789,5.615,5.188,4.211
-0.042,0.542,-0.784,6.958,7.141,2.686
-0.043,0.539,-0.795,9.644,8.728,1.099
-0.045,0.545,-0.808,12.146,8.728,0.366
-0.052,0.545,-0.828,13.672,8.179,-0.061
-0.063,0.544,-0.847,14.038,8.118,-0.061
-0.072,0.548,-0.851,12.329,8.484,0.549
-0.079,0.554,-0.847,11.597,8.911,1.038
-0.078,0.546,-0.842,10.437,9.216,1.892
-0.07,0.551,-0.836,9.277,9.521,2.075
-0.067,0.551,-0.829,7.568,9.094,1.404
-0.066,0.558,-0.825,8.606,7.874,0
-0.072,0.56,-0.824,7.812,6.287,-0.854
-0.085,0.562,-0.825,9.827,5.371,-1.648
-0.528,0.393,-0.774,13.306,39.917,6.897
-0.518,0.388,-0.772,14.771,40.955,8.057
-0.512,0.39,-0.763,14.282,40.1,7.812
-0.513,0.396,-0.752,9.888,37.659,6.958
-0.521,0.405,-0.743,8.423,34.302,5.371
-0.533,0.417,-0.73,9.033,31.799,4.333
-0.545,0.427,-0.722,10.193,30.212,3.967
-0.563,0.425,-0.731,10.01,30.151,4.639
-0.581,0.42,-0.743,12.695,33.386,5.737
-0.601,0.417,-0.746,15.32,40.222,7.202
-0.598,0.404,-0.754,14.709,47.852,9.888
-0.575,0.38,-0.762,14.954,54.626,12.573
-0.542,0.359,-0.752,14.221,56.641,13.245
-0.516,0.357,-0.729,6.775,51.208,12.695
-0.508,0.367,-0.703,0.244,41.016,10.62
-0.519,0.381,-0.679,-1.77,30.029,7.202
-0.544,0.395,-0.659,-3.113,21.729,4.15
-0.579,0.405,-0.658,2.136,17.761,1.953
-0.61,0.402,-0.687,6.287,18.555,1.77
-0.634,0.395,-0.718,10.254,24.292,2.625
-0.65,0.395,-0.734,14.771,33.325,3.906
-0.664,0.4,-0.723,15.625,42.969,6.592
-0.675,0.399,-0.708,14.832,51.758,10.437
-0.669,0.396,-0.698,16.907,59.875,14.221
-0.645,0.389,-0.687,17.334,66.467,17.09
-0.616,0.379,-0.681,19.104,68.848,17.761
-0.597,0.375,-0.662,14.404,65.247,16.907
-0.587,0.381,-0.634,11.902,56.396,14.648
-0.598,0.388,-0.623,9.888,45.227,11.414
-0.625,0.39,-0.622,9.399,35.95,8.545
-0.659,0.393,-0.632,9.705,31.799,5.981
-0.697,0.393,-0.637,12.512,33.508,4.639
-0.73,0.392,-0.634,14.771,39.856,5.432
-0.752,0.392,-0.622,17.761,47.607,7.751
-0.767,0.394,-0.609,21.301,55.115,11.902
-0.752,0.376,-0.628,25.696,61.218,17.212
-0.7,0.342,-0.658,28.137,65.063,21.118
-0.65,0.328,-0.661,22.705,63.232,21.362
-0.604,0.331,-0.64,14.771,53.65,18.799
-0.59,0.339,-0.617,5.737,38.513,14.038
-0.608,0.351,-0.593,0.366,23.132,7.629
-0.66,0.358,-0.576,-3.54,12.634,1.16
-0.712,0.371,-0.567,-1.77,9.46,-3.052
-0.757,0.376,-0.554,1.038,11.414,-4.15
-0.779,0.384,-0.539,5.127,16.479,-3.235
-0.784,0.386,-0.531,11.597,21.606,-0.977
-0.78,0.383,-0.53,15.381,24.902,2.319
-0.767,0.385,-0.531,19.592,26.428,5.432
-0.754,0.381,-0.537,22.095,26.489,7.69
-0.745,0.379,-0.551,24.17,26.55,8.85
-0.734,0.381,-0.567,23.926,26.733,8.972
-0.715,0.368,-0.593,24.963,26.306,7.812
-0.695,0.353,-0.61,19.714,23.499,5.737
-0.686,0.352,-0.61,13.123,16.846,2.441
-0.693,0.35,-0.6,5.249,8.057,-1.16
-0.715,0.356,-0.584,-1.343,-0.427,-4.456
-0.747,0.372,-0.569,-5.249,-6.714,-6.775
-0.78,0.386,-0.56,-7.263,-9.338,-6.775
-0.799,0.401,-0.554,-6.165,-7.385,-4.822
-0.804,0.414,-0.548,-2.563,-1.831,-2.014
-0.797,0.419,-0.548,2.38,6.104,1.221
-0.788,0.414,-0.561,7.751,13.489,4.761
-0.782,0.406,-0.579,11.353,20.081,7.996
-0.773,0.399,-0.596,12.024,25.757,11.169
-0.763,0.395,-0.602,11.719,30.945,13.367
-0.757,0.388,-0.602,10.559,35.034,14.404
-0.765,0.373,-0.601,8.179,37.109,14.465
-0.781,0.368,-0.592,4.333,38.757,14.587
-0.79,0.373,-0.57,2.075,40.466,15.259
-0.803,0.379,-0.547,-0.854,41.504,17.395
-0.808,0.37,-0.539,-0.671,42.297,20.508
-0.818,0.371,-0.529,-0.549,43.823,23.865
-0.818,0.367,-0.527,1.221,48.157,26.917
-0.827,0.352,-0.537,3.845,53.772,30.151
-0.834,0.345,-0.538,4.944,62.073,32.898
-0.835,0.339,-0.529,7.69,71.411,34.424
-0.829,0.333,-0.519,8.85,79.346,36.316
-0.832,0.329,-0.514,10.193,83.984,37.842
-0.842,0.313,-0.518,9.949,87.158,38.818
-0.861,0.282,-0.525,10.254,90.393,39.307
-0.853,0.303,-0.51,5.249,94.299,40.039
-0.822,0.338,-0.484,2.93,97.778,39.978
-0.823,0.315,-0.458,2.563,99.243,41.504
-0.827,0.292,-0.444,3.906,98.145,41.504
-0.834,0.275,-0.438,3.357,96.252,41.138
-0.848,0.255,-0.437,1.221,95.215,40.283
-0.864,0.24,-0.428,0.183,96.313,39.551
-0.878,0.234,-0.408,-3.357,98.083,39.978
-0.893,0.225,-0.397,-7.202,98.755,41.321
-0.908,0.224,-0.383,-9.949,99.304,43.213
-0.924,0.218,-0.365,-13.977,101.807,46.143
-0.946,0.216,-0.353,-16.663,106.079,49.255
-0.962,0.216,-0.336,-20.325,113.647,52.979
-0.969,0.225,-0.326,-19.958,124.634,56.03
-0.965,0.225,-0.32,-21.057,138.794,58.594
-0.968,0.22,-0.309,-23.56,154.602,60.974
-0.967,0.212,-0.278,-22.766,169.434,62.622
-0.967,0.207,-0.231,-23.437,181.519,64.27
-0.968,0.207,-0.18,-22.827,189.087,65.674
-0.962,0.201,-0.123,-20.691,192.261,67.444
-0.941,0.194,-0.071,-17.822,191.711,69.702
-0.937,0.188,-0.026,-13,189.209,70.374
-0.96,0.167,0.015,-8.606,186.401,69.458
-0.975,0.155,0.036,-4.395,186.035,68.359
-0.988,0.166,0.048,0.854,190.552,66.406
-1.001,0.177,0.068,4.944,198.914,65.247
-1.007,0.175,0.078,14.465,212.402,63.843
-0.995,0.162,0.094,22.034,230.469,60.913
-0.977,0.143,0.114,31.921,249.084,56.152
-0.936,0.097,0.138,38.025,265.869,51.88
-0.874,0.039,0.175,44.922,276.245,45.959
-0.827,-0.007,0.212,44.556,278.992,39.612
-0.812,-0.032,0.253,44.006,275.757,31.921
-0.813,-0.026,0.296,39.063,271.851,25.818
-0.816,0,0.354,34.485,268.555,21.545
-0.82,0.019,0.416,36.438,265.137,20.02
-0.802,0.028,0.455,38.879,263.489,20.203
-0.771,0.031,0.496,46.143,265.259,18.311
-0.74,0.024,0.537,51.025,268.616,15.381
-0.219,-0.539,1.006,89.111,-262.878,33.569
-0.277,-0.545,0.964,91.614,-277.71,30.701
-0.324,-0.57,0.923,92.224,-296.265,32.654
-0.36,-0.623,0.863,92.346,-316.04,35.278
-0.415,-0.696,0.811,95.947,-330.2,34.607
-0.468,-0.739,0.751,103.76,-335.022,29.846
-0.499,-0.772,0.67,116.211,-329.651,22.583
-0.54,-0.829,0.557,127.014,-317.322,13.733
-0.552,-0.881,0.449,135.254,-302.795,4.761
-0.528,-0.923,0.377,132.69,-296.082,-0.854
-0.479,-0.962,0.348,121.033,-300.11,-5.31
-0.45,-1.003,0.328,113.647,-310.73,-16.174
-0.414,-1.039,0.296,111.206,-323.242,-32.471
-0.392,-1.051,0.246,111.511,-335.266,-52.185
-0.372,-1.046,0.198,115.906,-349.243,-74.89
-0.376,-1.039,0.147,121.521,-362.915,-97.351
-0.378,-0.99,0.074,126.038,-377.991,-118.652
-0.473,-0.837,-0.028,133.057,-386.719,-136.902
-0.582,-0.772,-0.154,140.991,-390.442,-143.616
-0.585,-0.757,-0.213,150.024,-392.7,-136.414
-0.472,-0.78,-0.333,156.982,-394.958,-132.751
-0.319,-0.794,-0.447,163.208,-390.259,-139.832
-0.23,-0.817,-0.523,167.603,-375.671,-157.349
-0.215,-0.751,-0.609,167.603,-368.347,-184.875
-0.182,-0.674,-0.652,167.297,-359.253,-217.407
-0.176,-0.574,-0.69,169.678,-343.933,-243.958
-0.166,-0.468,-0.701,178.833,-322.449,-266.357
-0.136,-0.335,-0.707,190.857,-302.185,-285.828
-0.204,-0.234,-0.736,205.994,-282.349,-304.993
-0.395,-0.182,-0.848,217.468,-262.817,-319.092
-0.584,-0.177,-1.025,212.769,-255.249,-311.279
-0.676,-0.231,-1.255,189.819,-265.808,-278.809
-0.746,-0.248,-1.405,148.499,-278.198,-239.502
-0.8,-0.212,-1.434,99.426,-276.184,-203.796
-0.756,-0.172,-1.356,55.847,-257.812,-168.701
-0.62,-0.101,-1.153,25.024,-224.915,-138.062
-0.426,-0.042,-0.95,12.451,-187.317,-116.638
-0.186,0.026,-0.761,15.442,-156.433,-104.553
0.062,0.123,-0.615,23.743,-141.541,-101.563
0.263,0.222,-0.527,38.025,-139.771,-111.023
0.343,0.33,-0.514,57.983,-142.334,-133.728
0.347,0.417,-0.592,78.308,-145.02,-159.973
0.291,0.45,-0.679,90.82,-149.78,-180.664
0.138,0.535,-0.707,85.938,-161.621,-192.688
0.06,0.614,-0.705,74.402,-172.546,-194.702
